Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,ocm,https://github.com/open-cluster-management-io/ocm,{code},,,f,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,t,f,f,,t,t,t,t,t,f,t,f,f,
cncf,ocm,https://github.com/open-cluster-management-io/api,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,ocm,https://github.com/open-cluster-management-io/community,{community},f,t,,t,t,f,,t,f,f,t,,,"Not detected",GA4,,,t,,f,,,,t,,,,,,,t,,,t
cncf,ocm,https://github.com/open-cluster-management-io/clusteradm,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,opa,https://github.com/open-policy-agent/gatekeeper,{code-lite},,,,,t,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,opa,https://github.com/open-policy-agent/conftest,{code-lite},,,,,t,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,opa,https://github.com/open-policy-agent/opa,"{community,code}",t,f,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,GA4,f,f,f,t,f,t,f,t,f,t,f,t,t,t,f,t,f,f,f
cncf,opcr,https://github.com/opcr-io/policy,"{community,code}",t,f,t,t,t,f,t,t,f,f,t,t,f,Apache-2.0,,f,f,f,t,t,t,f,t,f,t,t,t,t,f,f,f,f,f,t
cncf,opencost,https://github.com/opencost/opencost,"{community,code}",t,f,f,t,t,t,t,t,t,f,t,t,f,Apache-2.0,GA4,f,f,t,t,f,f,f,t,t,t,t,t,t,t,f,t,f,f,t
cncf,openebs,https://github.com/openebs/website,{community},f,f,,t,t,t,,t,f,f,t,,,"Not detected",,,,f,,f,,,,f,,,,,,,f,,,f
cncf,openebs,https://github.com/openebs/openebs,{code},,,t,,t,,t,t,,,,t,t,Apache-2.0,,f,f,,t,,t,f,t,,t,f,t,f,f,f,t,f,f,
cncf,openebs,https://github.com/openebs/mayastor,{code-lite},,,,,t,,f,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,openebs,https://github.com/openebs/zfs-localpv,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,openelb,https://github.com/openelb/openelb,"{community,code}",t,t,t,t,t,f,t,t,t,t,t,t,f,Apache-2.0,,f,f,f,t,t,f,f,f,f,t,f,t,f,f,f,f,f,f,f
cncf,openfeature,https://github.com/open-feature/community,{community},t,f,,t,t,t,,t,t,f,t,,,"Not detected",GA4,,,f,,t,,,,t,,,,,,,t,,,f
cncf,openfeature,https://github.com/open-feature/spec,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,openfeature,https://github.com/open-feature/open-feature-operator,{code},,,t,,t,,t,t,,,,t,t,Apache-2.0,,t,f,,t,,t,f,t,,t,t,t,t,t,t,t,f,f,
cncf,openfeature,https://github.com/open-feature/java-sdk,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,t,f,t,,t,t,t,t,t,f,t,f,t,
cncf,openfeature,https://github.com/open-feature/flagd,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,openfga,https://github.com/openfga/openfga,{code},,,t,,t,,t,t,,,,t,t,Apache-2.0,,t,t,,f,,t,t,t,,t,t,t,t,t,t,t,t,t,
cncf,openfga,https://github.com/openfga/go-sdk,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
cncf,openfga,https://github.com/openfga/js-sdk,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,t,,f,,,,t,,,,,,,,,,,
