URL,Date,Security Score,Project,Foundation,Maturity,CheckSets,Slam22 Participant,SBOM,Maintained,Code Review,Security Policy,Signed Releases,Binary Artifacts,Token Permissions,Dangerous Workflow,Dependency Update Tool
https://github.com/argoproj/argo-helm,2023-07,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-events,2023-07,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-cd,2023-07,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-workflows,2023-06,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,0,1,1
https://github.com/argoproj/argo-rollouts,2023-06,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-06,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-cd,2023-06,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-06,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-workflows,2023-05,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,0,1,1
https://github.com/argoproj/argo-rollouts,2023-05,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-05,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-cd,2023-05,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-05,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-workflows,2023-04,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,0,1,1
https://github.com/argoproj/argo-rollouts,2023-04,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-events,2023-04,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
https://github.com/argoproj/argo-helm,2023-04,90.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),0,1,1,1,0,1,1,1,0
https://github.com/argoproj/argo-cd,2023-04,100.000000,argo,cncf,graduated,[code],%!t(string=Yes: argo),1,1,1,1,1,1,1,1,1
